from,to,kommentar,tonalität,zeit,folge,thema
GRUENE,AB,1,1,238,2,3
LINKE,AB,1,1,238,2,3
GRUENE,AB,1,1,238,2,7
GRUENE,AB,1,1,238,2,7
DB,AB,1,1,238,2,7
LINKE,AB,2,2,238,2,3
GRUENE,AB,1,1,238,2,3
ZN,AB,2,2,238,2,3
GRUENE,AB,1,1,238,2,3
CS,AB,6,3,238,2,3
GRUENE,AB,1,1,238,2,3
FDP,AB,1,1,238,2,3
LINKE,AB,1,1,238,2,3
GRUENE,AB,1,1,238,2,3
LINKE,AB,1,1,238,2,3
CS,AB,6,2,238,2,3
CS,AB,6,2,238,2,3
GRUENE,AB,1,1,238,2,3
CS,AB,2,2,238,2,3
SPD,AB,62,2,238,1,3
CS,AB,6,2,238,2,14
CP,AB,6,2,238,2,14
CS,AB,6,2,238,2,14
GRUENE,AB,1,1,238,2,7
CS,AB,6,3,238,2,7
GRUENE,AB,1,1,238,2,7
GRUENE,AB,1,1,238,2,14
MRA,AB,2,2,238,2,3
GRUENE,AB,1,1,238,2,3
WS,AB,6,3,238,2,14
GRUENE,AB,1,1,238,2,14
SPD,GH,1,1,238,2,3
CDU,GH,1,1,238,2,3
UW,GH,6,2,238,2,7
SPD,GH,1,1,238,2,3
SPD,GH,1,1,238,2,3
AFD,RL,1,1,238,2,7
AFD,RL,1,1,238,2,7
AFD,RL,1,1,238,2,7
AGL,RL,6,2,238,2,3
HO,RL,6,2,238,2,3
AFD,RL,1,1,238,2,3
AOE,RL,6,2,238,2,14
ON,JH,2,3,238,2,14
BH,JH,2,2,238,2,14
UTH,JH,2,2,238,1,14
BH,JH,2,2,238,1,14
FDP,ABG,3,2,238,1,14
GRUENE,ABG,1,1,238,2,14
BH,JH,2,2,238,2,14
BH,JH,3,2,238,2,14
CDU,JH,1,1,238,2,14
BH,JH,3,2,238,1,14
JT,JH,2,2,238,1,14
BH,JH,7,2,238,1,14
GRUENE,BH,1,1,238,2,14
LINKE,BH,1,1,238,2,14
MGB,BH,3,2,238,2,14
MASZ,BH,2,2,238,2,14
GRUENE,BH,1,1,238,2,14
LINKE,BH,1,1,238,2,14
GRUENE,JH,2,2,238,2,14
BH,JH,5,3,238,2,14
HO,JH,2,1,238,2,14
CDU,JH,1,1,238,2,3
SPD,JH,1,1,238,2,3
APH,JH,3,2,238,2,3
AG,JH,3,2,238,2,3
MASZ,JH,4,3,238,2,3
BB,JH,2,2,238,2,3
BB,JH,2,2,238,2,3
BB,JH,2,2,238,2,3
APH,JH,2,2,238,2,3
SPD,AH,1,1,238,2,12
CDU,AH,1,1,238,2,12
FDP,AH,1,1,238,2,12
SPD,AH,1,1,238,2,12
CDU,AH,1,1,238,2,12
GRUENE,AH,1,1,238,2,12
GRUENE,AH,1,1,238,2,12
GRUENE,AH,1,1,238,2,12
PB,AH,2,2,238,2,12
GRUENE,AH,1,1,238,2,12
SPD,AH,3,2,238,2,12
GRUENE,AH,1,1,238,2,12
GRUENE,AH,1,1,238,2,12
CDU,AH,2,2,238,2,12
GRUENE,AH,1,1,238,2,12
CDU,AH,2,2,238,2,12
SPD,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
CDU,MD,1,1,238,2,12
LINKE,MD,1,1,238,2,12
GRUENE,MD,1,1,238,2,12
AFD,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
CDU,MD,1,1,238,2,12
LINKE,MD,1,1,238,2,12
GRUENE,MD,1,1,238,2,12
AFD,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
CDU,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
FDP,MD,1,1,238,2,12
FDP,MD,1,1,238,2,12
FDP,MD,1,1,238,2,12
CDU,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
FDP,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
CDU,MD,1,1,238,2,12
SPD,MD,1,1,238,2,12
LINKE,MD,1,1,238,2,12
AFD,PB,1,1,238,2,6
AFD,PB,1,1,238,2,6
SPD,PB,2,2,238,2,6
AFD,PB,1,1,238,2,6
AFD,PB,1,1,238,2,6
AFD,PB,1,1,238,2,6
AD,PB,2,2,238,1,6
MD,PB,2,2,238,1,6
AFD,PB,1,1,238,2,6
CDU,CHH,1,1,238,2,6
CDU,CHH,1,1,238,2,6
AH,CHH,1,1,238,2,6
CDU,CHH,1,1,238,2,6
CDU,CHH,1,1,238,2,6
TH,CHH,4,3,238,2,6
TH,CHH,4,2,238,2,6
CDU,CHH,1,1,238,2,6
FDP,OF,1,1,238,2,12
FDP,OF,1,1,238,2,12
FDP,OF,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
SPD,OK,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
SL,OK,2,1,238,2,12
GRUENE,OK,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
GRUENE,OK,1,1,238,2,12
CDU,SBR,1,1,238,2,6
SL,SBR,2,2,238,2,6
CDU,SBR,1,1,238,2,6
CDU,SBR,1,1,238,2,6
OK,SBR,2,2,238,1,6
CDU,SBR,1,1,238,2,6
FDP,SBR,1,1,238,2,6
SL,SBR,2,2,238,1,6
FDP,LK,1,1,238,2,12
FDP,LK,1,1,238,2,12
TL,LK,2,2,238,2,12
FDP,LK,1,1,238,2,12
FDP,LK,1,1,238,2,12
SPD,SH,1,1,238,2,6
SPD,SH,1,1,238,2,6
LINKE,SH,1,1,238,2,6
SPD,SH,1,1,238,2,6
SPD,SH,1,1,238,2,6
CDU,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
SPD,MH,1,1,238,2,6
FDP,MH,1,1,238,2,6
LINKE,MH,1,1,238,2,6
GRUENE,MH,1,1,238,2,6
FG,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
SPD,MH,1,1,238,2,6
FG,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
SPD,MH,1,1,238,2,6
LK,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
CDU,MH,1,1,238,2,6
JW,MH,2,2,238,1,6
MSC,JW,7,2,238,2,6
CDU,MH,1,1,238,2,6
JW,MH,2,2,238,1,6
SL,MH,2,2,238,1,6
JW,MH,2,2,238,1,6
SPD,MH,2,2,238,1,6
SL,MH,2,2,238,1,6
CDU,MH,1,1,238,2,6
SL,MH,2,2,238,1,6
CDU,MH,1,1,238,2,6
JW,MH,2,2,238,1,6
TC,JW,7,3,238,1,6
CDU,DS,1,1,238,2,6
CDU,DS,1,1,238,2,6
SPD,DS,1,1,238,2,6
LINKE,DS,1,1,238,2,6
GRUENE,DS,1,1,238,2,6
CDU,DS,1,1,238,2,6
CDU,AD,1,1,238,2,10
CDU,AD,1,1,238,2,10
CDU,AD,1,1,238,2,10
CDU,AD,1,1,238,2,10
MRE,AD,2,2,238,2,10
SB,AD,2,2,238,2,10
AFD,AD,2,2,238,1,10
MRE,AD,2,2,238,2,10
AW,AD,2,2,238,2,10
AFD,AD,2,2,238,2,10
CDU,AD,1,1,238,2,10
KV,AD,4,3,238,1,10
CDU,AD,1,1,238,2,10
WSB,AD,4,3,238,1,10
CDU,AD,1,1,238,2,10
CDU,AD,1,1,238,2,10
AFD,TC,1,1,238,2,10
SPD,TC,2,2,238,2,10
SB,TC,2,2,238,2,10
SB,TC,2,2,238,2,10
SPD,TC,2,2,238,2,10
